experiment_id,model_config,stage,input_tokens,output_tokens,latency_ms,dsl_errors,render_errors,type_error_count,reference_error_count,cycle_detected,regenerated,runtime_error,timestamp
"exp_1765620460044","B","3","3897","4096","48186","","","0","0","false","false","false","Sat Dec 13 2025 19:35:56 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","3","3982","3965","40710","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 19:23:47 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","1","4060","2196","24741","","","0","0","false","false","false","Sat Dec 13 2025 19:24:06 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","1","4061","2466","26984","","","0","0","false","false","false","Sat Dec 13 2025 19:24:14 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","1","4139","2500","30390","","","0","0","false","false","false","Sat Dec 13 2025 19:27:14 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","3","5679","4096","46431","","","0","0","false","false","false","Sat Dec 13 2025 19:28:20 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","3","5709","4096","43748","","","0","0","false","false","false","Sat Dec 13 2025 19:28:21 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","1","4148","2334","24882","","","0","0","false","false","false","Sat Dec 13 2025 19:28:45 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","1","4063","1111","8515","","","0","0","false","false","false","Sat Dec 13 2025 19:08:27 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","1","4078","1115","10888","","","0","0","false","false","false","Sat Dec 13 2025 19:08:29 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","1","4078","2262","24947","","","0","0","false","false","false","Sat Dec 13 2025 19:28:46 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","3","4428","3913","42268","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 19:29:47 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","3","4030","4096","51401","","","0","0","false","false","false","Sat Dec 13 2025 19:30:03 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","1","4056","2162","23065","","","0","0","false","false","false","Sat Dec 13 2025 19:30:10 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","1","4059","2099","23401","","","0","0","false","false","false","Sat Dec 13 2025 19:30:27 GMT+0900 (Japan Standard Time)"
