metric,test_type,model1,model2,model1_n,model1_value,model1_successes,model2_n,model2_value,model2_successes,test_statistic,p_value,p_value_corrected,significant,significant_corrected,effect_size,effect_size_interpretation
VR,z-test,A,B,150,0.666667,100,150,0.933333,140,-5.773503,0.000000,0.000000,true,true,-0.708645,medium
VR,z-test,A,C,150,0.666667,100,150,0.666667,100,0.000000,1.000000,1.000000,false,false,0.000000,negligible
VR,z-test,A,D,150,0.666667,100,150,0.686667,103,-0.370295,0.643118,1.000000,false,false,-0.042763,negligible
VR,z-test,A,E,150,0.666667,100,150,0.666667,100,0.000000,1.000000,1.000000,false,false,0.000000,negligible
VR,z-test,B,C,150,0.933333,140,150,0.666667,100,5.773503,0.000000,0.000000,true,true,0.708645,medium
VR,z-test,B,D,150,0.933333,140,150,0.686667,103,5.445300,0.000000,0.000000,true,true,0.665882,medium
VR,z-test,B,E,150,0.933333,140,150,0.666667,100,5.773503,0.000000,0.000000,true,true,0.708645,medium
VR,z-test,C,D,150,0.666667,100,150,0.686667,103,-0.370295,0.643118,1.000000,false,false,-0.042763,negligible
VR,z-test,C,E,150,0.666667,100,150,0.666667,100,0.000000,1.000000,1.000000,false,false,0.000000,negligible
VR,z-test,D,E,150,0.686667,103,150,0.666667,100,0.370295,0.643118,1.000000,false,false,0.042763,negligible
TCR,z-test,A,B,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
TCR,z-test,A,C,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
TCR,z-test,A,D,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
TCR,z-test,A,E,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
TCR,z-test,B,C,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
TCR,z-test,B,D,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
TCR,z-test,B,E,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
TCR,z-test,C,D,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
TCR,z-test,C,E,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
TCR,z-test,D,E,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
RRR,z-test,A,B,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
