experiment_id,model_config,stage,input_tokens,output_tokens,latency_ms,dsl_errors,render_errors,type_error_count,reference_error_count,cycle_detected,regenerated,runtime_error,timestamp
"exp_1765528462706","E","2","2357","723","12006","","","0","0","false","false","false","Fri Dec 12 2025 23:18:21 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","B","2","3083","1767","16763","","","0","0","false","true","false","Sat Dec 13 2025 10:32:32 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","A","3","2268","1126","8606","","","0","0","false","false","false","Fri Dec 12 2025 17:49:48 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","A","3","2541","1543","12344","","","0","0","false","false","false","Fri Dec 12 2025 17:53:02 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","B","3","5666","4096","41619","","","0","0","false","true","false","Sat Dec 13 2025 10:33:14 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","E","3","4589","6722","27092","","","0","0","false","false","false","Fri Dec 12 2025 23:18:48 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","E","1","4073","1207","24314","","","0","0","false","false","false","Fri Dec 12 2025 23:19:13 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","E","2","1854","538","9551","","","0","0","false","false","false","Fri Dec 12 2025 23:19:22 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","B","2","2591","1745","22817","","","0","0","false","true","false","Sat Dec 13 2025 13:13:42 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","E","3","3294","2729","33771","","","0","0","false","false","false","Fri Dec 12 2025 23:19:56 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","E","1","4123","1083","21698","","","0","0","false","false","false","Fri Dec 12 2025 23:20:18 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","B","3","4796","4096","63347","","","0","0","false","true","false","Sat Dec 13 2025 13:14:45 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","A","1","4079","1250","19236","","","0","0","false","false","false","Fri Dec 12 2025 17:52:05 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","A","2","1659","872","7869","","","0","0","false","false","false","Fri Dec 12 2025 17:52:12 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","E","2","2151","598","26640","","","0","0","false","false","false","Fri Dec 12 2025 23:20:44 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","B","1","4081","2236","40997","","","0","0","false","false","false","Fri Dec 12 2025 18:29:58 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","E","1","4124","1008","19693","","","0","0","false","false","false","Fri Dec 12 2025 23:21:53 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","E","2","1942","599","9651","","","0","0","false","false","false","Fri Dec 12 2025 23:22:02 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","E","3","4248","3520","48796","","","0","0","false","false","false","Fri Dec 12 2025 23:21:33 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","E","1","4126","1351","19685","","","0","0","false","false","false","Fri Dec 12 2025 23:22:42 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","E","2","2226","587","8844","","","0","0","false","false","false","Fri Dec 12 2025 23:22:51 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","B","2","3232","1178","12833","","","0","0","false","true","false","Sat Dec 13 2025 10:35:04 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","E","3","3438","2506","20185","","","0","0","false","false","false","Fri Dec 12 2025 23:22:23 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","E","1","4058","1200","15477","","","0","0","false","false","false","Fri Dec 12 2025 23:23:51 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","E","2","2115","730","13456","","","0","0","false","false","false","Fri Dec 12 2025 23:24:05 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","B","3","6019","4096","39110","","","0","0","false","true","false","Sat Dec 13 2025 10:35:43 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","E","3","4374","3208","44616","","","0","0","false","false","false","Fri Dec 12 2025 23:23:36 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","E","3","4184","5681","21945","","","0","0","false","false","false","Fri Dec 12 2025 23:24:27 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","A","3","2587","1699","12190","","","0","0","false","false","false","Fri Dec 12 2025 17:52:25 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","A","3","2542","1538","11251","","","0","0","false","false","false","Fri Dec 12 2025 17:36:29 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","E","1","4061","956","12457","","","0","0","false","false","false","Fri Dec 12 2025 23:24:39 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","E","2","1527","583","8393","","","0","0","false","false","false","Fri Dec 12 2025 23:24:48 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","A","3","3098","1955","17785","","","0","0","false","false","false","Fri Dec 12 2025 17:54:19 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","A","3","3328","1895","15321","","","0","0","false","false","false","Fri Dec 12 2025 17:41:50 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","A","3","3038","1746","14091","","","0","0","false","false","false","Fri Dec 12 2025 18:04:19 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","B","3","3962","4000","78797","","","0","0","false","false","false","Fri Dec 12 2025 18:49:35 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","B","3","4056","3772","57659","","","0","0","false","false","false","Fri Dec 12 2025 18:58:05 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","B","3","4254","3966","64696","","","0","0","false","false","false","Fri Dec 12 2025 19:04:20 GMT+0900 (Japan Standard Time)"
