metric,test_type,model1,model2,model1_n,model1_value,model1_successes,model2_n,model2_value,model2_successes,test_statistic,p_value,p_value_corrected,significant,significant_corrected,effect_size,effect_size_interpretation
VR,z-test,A,B,150,0.666667,100,150,0.953333,143,-6.328321,0.000000,0.000000,true,true,-0.795477,medium
VR,z-test,A,C,150,0.666667,100,150,0.700000,105,-0.620572,0.460871,1.000000,false,false,-0.071680,negligible
VR,z-test,A,D,150,0.666667,100,150,0.933333,140,-5.773503,0.000000,0.000000,true,true,-0.708645,medium
VR,z-test,A,E,150,0.666667,100,148,0.709459,105,-0.797144,0.356691,1.000000,false,false,-0.092417,negligible
VR,z-test,B,C,150,0.953333,143,150,0.700000,105,5.795844,0.000000,0.000000,true,true,0.723797,medium
VR,z-test,B,D,150,0.953333,143,150,0.933333,140,0.749142,0.383141,1.000000,false,false,0.086832,negligible
VR,z-test,B,E,150,0.953333,143,148,0.709459,105,5.632991,0.000000,0.000000,true,true,0.703060,medium
VR,z-test,C,D,150,0.700000,105,150,0.933333,140,-5.222330,0.000000,0.000001,true,true,-0.636965,medium
VR,z-test,C,E,150,0.700000,105,148,0.709459,105,-0.178978,0.813100,1.000000,false,false,-0.020738,negligible
VR,z-test,D,E,150,0.933333,140,148,0.709459,105,5.053207,0.000000,0.000003,true,true,0.616227,medium
TCR,z-test,A,B,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
TCR,z-test,A,C,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
TCR,z-test,A,D,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
TCR,z-test,A,E,150,1.000000,150,148,1.000000,148,0.000000,1.000000,1.000000,false,false,0.000000,negligible
TCR,z-test,B,C,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
TCR,z-test,B,D,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
TCR,z-test,B,E,150,1.000000,150,148,1.000000,148,0.000000,1.000000,1.000000,false,false,0.000000,negligible
TCR,z-test,C,D,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
TCR,z-test,C,E,150,1.000000,150,148,1.000000,148,0.000000,1.000000,1.000000,false,false,0.000000,negligible
TCR,z-test,D,E,150,1.000000,150,148,1.000000,148,0.000000,1.000000,1.000000,false,false,0.000000,negligible
RRR,z-test,A,B,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
RRR,z-test,A,C,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
RRR,z-test,A,D,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
RRR,z-test,A,E,150,1.000000,150,148,1.000000,148,0.000000,1.000000,1.000000,false,false,0.000000,negligible
